Compstr,pairID,Crystal,Etot,Eform,bcc2laves_Hmix_TC,Eform_VASP
CuTi2,P311,Laves,-6.053614,0.285596,0.066597,0.285596
MnTi2,P411,Laves,-7.630579,0.416746,0.122697,0.416746
CrTi2,P511,Laves,-7.747704,0.522085,0.167755,0.522085
VTi2,P611,Laves,-7.698225,0.389803,0.111171,0.389803
ZnTi2,P711,Laves,-5.310480,0.137048,0.003056,0.137048
MoTi2,P811,Laves,-8.558727,0.198013,0.029134,0.198013
WTi2,P911,Laves,-9.244537,0.202149,0.030903,0.202149
AlTi2,P1011,Laves,-6.335429,-0.012525,-0.060923,-0.012525
TiTi2,P1111,Laves,-7.511785,0.149506,0.008385,0.149506
NiTa2,P012,Laves,-9.114145,0.585540,0.194898,0.585540
CoTa2,P112,Laves,-9.537227,0.685556,0.237679,0.685556
FeTa2,P212,Laves,-9.819209,0.835809,0.301949,0.835809
CuTa2,P312,Laves,-8.454843,0.684410,0.237189,0.684410
MnTa2,P412,Laves,-10.060847,0.786522,0.280867,0.786522
CrTa2,P512,Laves,-10.301661,0.768172,0.273018,0.768172
VTa2,P612,Laves,-10.390529,0.497541,0.157257,0.497541
ZnTa2,P712,Laves,-7.705790,0.541782,0.176180,0.541782
MoTa2,P812,Laves,-11.170703,0.386080,0.109579,0.386080
WTa2,P912,Laves,-11.861797,0.384932,0.109088,0.384932
AlTa2,P1012,Laves,-8.777321,0.345627,0.092276,0.345627
TiTa2,P1112,Laves,-10.214302,0.247032,0.050102,0.247032
TaTa2,P1212,Laves,-11.747020,0.114336,-0.006659,0.114336
NiNb2,P013,Laves,-8.121435,0.475034,0.147629,0.475034
CoNb2,P113,Laves,-8.514514,0.605052,0.203244,0.605052
FeNb2,P213,Laves,-8.980789,0.571012,0.188683,0.571012
CuNb2,P313,Laves,-7.495769,0.540268,0.175533,0.540268
MnNb2,P413,Laves,-9.290281,0.453872,0.138577,0.453872
CrNb2,P513,Laves,-9.218423,0.748194,0.264473,0.748194
VNb2,P613,Laves,-9.313886,0.470969,0.145890,0.470969
ZnNb2,P713,Laves,-6.751027,0.393329,0.112680,0.393329
MoNb2,P813,Laves,-10.035737,0.417830,0.123160,0.417830
WNb2,P913,Laves,-10.727733,0.415780,0.122283,0.415780
AlNb2,P1013,Laves,-7.791859,0.227872,0.041906,0.227872
TiNb2,P1113,Laves,-9.154261,0.203857,0.031634,0.203857
TaNb2,P1213,Laves,-10.635924,0.122216,-0.003288,0.122216
NbNb2,P1313,Laves,-10.051984,0.154547,0.010541,0.154547
NiHf2,P014,Laves,-7.749518,0.559843,0.183906,0.559843
CoHf2,P114,Laves,-8.070752,0.761705,0.270252,0.761705
